State,A_0,A_1,A_2
s0_1,0.22545825242718448,0.009708737864077669,0.7648330097087378
s1_0,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_1,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_2,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_3,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_4,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_5,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_6,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_7,0.3333333333333333,0.3333333333333333,0.3333333333333333
s1_8,0.3333333333333333,0.3333333333333333,0.3333333333333333
s2_1,0.3333333333333333,0.3333333333333333,0.3333333333333333
s3_1,0.009708737864077669,0.009708737864077669,0.9805825242718447
s3_2,0.009708737864077669,0.009708737864077669,0.9805825242718447
s3_3,0.009708737864077669,0.009708737864077669,0.9805825242718447
s3_4,0.009708737864077669,0.009708737864077669,0.9805825242718447
s3_5,0.009708737864077669,0.009708737864077669,0.9805825242718447
s3_6,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_1,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_2,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_3,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_4,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_5,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_6,0.009708737864077669,0.009708737864077669,0.9805825242718447
s4_7,0.11758349514563106,0.8727077669902913,0.009708737864077669
s5_1,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_2,0.9805825242718447,0.009708737864077669,0.009708737864077669
s5_3,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_4,0.9805825242718447,0.009708737864077669,0.009708737864077669
s5_5,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_6,0.9805825242718447,0.009708737864077669,0.009708737864077669
s5_7,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_8,0.9805825242718447,0.009708737864077669,0.009708737864077669
s5_9,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_10,0.9805825242718447,0.009708737864077669,0.009708737864077669
s5_11,0.009708737864077669,0.009708737864077669,0.9805825242718447
s5_12,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_1,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_2,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_3,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_4,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_5,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_6,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_7,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_8,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_9,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_10,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_11,0.009708737864077669,0.009708737864077669,0.9805825242718447
s6_12,0.9805825242718447,0.009708737864077669,0.009708737864077669
s6_13,0.11758349514563106,0.8727077669902913,0.009708737864077669
s7_1,0.9805825242718447,0.009708737864077669,0.009708737864077669
s7_2,0.9805825242718447,0.009708737864077669,0.009708737864077669
s7_3,0.9805825242718447,0.009708737864077669,0.009708737864077669
s7_4,0.9805825242718447,0.009708737864077669,0.009708737864077669
s7_5,0.9805825242718447,0.009708737864077669,0.009708737864077669
s7_6,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_1,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_2,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_3,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_4,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_5,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_6,0.9805825242718447,0.009708737864077669,0.009708737864077669
s8_7,0.11758349514563106,0.8727077669902913,0.009708737864077669
